direction,AUC,AUPR,LogAUC,recall_1,recall_5,recall_10,recall_25,recall_50,EF_1,EF_5,EF_10,EF_25EF_50
halve_1_9,1.0,1.0,0.08594921162550676,1.0,1.0,1.0,1.0,1.0,0.019762845849802372,0.1007905138339921,0.2015810276679842,0.5059288537549407,1.0
donate_1_less,1.0,1.0,0.08444718656797362,1.0,1.0,1.0,1.0,1.0,0.019417475728155338,0.09902912621359224,0.19805825242718447,0.4970873786407767,0.9941747572815534
halve_1_6,1.0,1.0,0.08221228938091948,1.0,1.0,1.0,1.0,1.0,0.01890359168241966,0.09640831758034027,0.19281663516068054,0.4839319470699433,0.9678638941398866
pathway94_60_5,1.0,1.0,0.08629027992560798,1.0,1.0,1.0,1.0,1.0,0.01984126984126984,0.10119047619047619,0.20238095238095238,0.5079365079365079,1.0
halve_1_2,1.0,1.0,0.08009263551106154,1.0,1.0,1.0,1.0,1.0,0.01841620626151013,0.09392265193370165,0.1878453038674033,0.4714548802946593,0.9429097605893186
pathway19_45_0,1.0,1.0,0.0817486862453128,1.0,1.0,1.0,1.0,1.0,0.018796992481203006,0.09586466165413533,0.19172932330827067,0.48120300751879697,0.9624060150375939
pathway94_45_0,1.0,1.0,0.08646183117794516,1.0,1.0,1.0,1.0,1.0,0.019880715705765408,0.10139165009940358,0.20278330019880716,0.5089463220675944,1.0
pathway19_120_6,1.0,1.0,0.08331475303162149,1.0,1.0,1.0,1.0,1.0,0.019157088122605363,0.09770114942528736,0.19540229885057472,0.4904214559386973,0.9808429118773946
pathway94_30_2,1.0,1.0,0.08283866872858366,1.0,1.0,1.0,1.0,1.0,0.01904761904761905,0.09714285714285714,0.19428571428571428,0.4876190476190476,0.9752380952380952
pathway19_135_1,1.0,1.0,0.08768205863408551,1.0,1.0,1.0,1.0,1.0,0.020161290322580645,0.1028225806451613,0.2056451612903226,0.5161290322580645,1.0
pathway49_15_9,1.0,1.0,0.08594921162550676,1.0,1.0,1.0,1.0,1.0,0.019762845849802372,0.1007905138339921,0.2015810276679842,0.5059288537549407,1.0
pathway19_75_2,1.0,1.0,0.08611940808417112,1.0,1.0,1.0,1.0,1.0,0.019801980198019802,0.100990099009901,0.201980198019802,0.5069306930693069,1.0
pathway49_45_3,1.0,1.0,0.08785919410607357,1.0,1.0,1.0,1.0,1.0,0.020202020202020204,0.10303030303030303,0.20606060606060606,0.5171717171717172,1.0
halve_2_7,1.0,0.9999999999999999,0.08395811019788883,1.0,1.0,1.0,1.0,1.0,0.019305019305019305,0.09845559845559845,0.1969111969111969,0.4942084942084942,0.9884169884169884
pathway19_15_3,1.0,1.0,0.08444718656797362,1.0,1.0,1.0,1.0,1.0,0.019417475728155338,0.09902912621359224,0.19805825242718447,0.4970873786407767,0.9941747572815534
pathway49_75_0,1.0,1.0,0.08544263473969826,1.0,1.0,1.0,1.0,1.0,0.019646365422396856,0.10019646365422397,0.20039292730844793,0.5029469548133595,1.0
pathway49_105_8,1.0,1.0,0.08663406590140721,1.0,1.0,1.0,1.0,1.0,0.0199203187250996,0.10159362549800798,0.20318725099601595,0.5099601593625498,1.0
pathway19_30_7,1.0,1.0,0.0846114807052654,1.0,1.0,1.0,1.0,1.0,0.019455252918287938,0.09922178988326848,0.19844357976653695,0.4980544747081712,0.9961089494163424
pathway19_135_6,1.0,1.0,0.08594921162550676,1.0,1.0,1.0,1.0,1.0,0.019762845849802372,0.1007905138339921,0.2015810276679842,0.5059288537549407,1.0
pathway19_120_1,1.0,1.0,0.08283866872858366,1.0,1.0,1.0,1.0,1.0,0.01904761904761905,0.09714285714285714,0.19428571428571428,0.4876190476190476,0.9752380952380952
pathway94_30_3,1.0,1.0,0.08283866872858366,1.0,1.0,1.0,1.0,1.0,0.01904761904761905,0.09714285714285714,0.19428571428571428,0.4876190476190476,0.9752380952380952
pathway19_105_7,1.0,1.0,0.08561082890257168,1.0,1.0,1.0,1.0,1.0,0.01968503937007874,0.10039370078740158,0.20078740157480315,0.5039370078740157,1.0
pathway49_15_5,1.0,1.0,0.08444718656797362,1.0,1.0,1.0,1.0,1.0,0.019417475728155338,0.09902912621359224,0.19805825242718447,0.4970873786407767,0.9941747572815534
pathway19_90_9,1.0,1.0,0.08768205863408551,1.0,1.0,1.0,1.0,1.0,0.020161290322580645,0.1028225806451613,0.2056451612903226,0.5161290322580645,1.0
pathway19_30_3,1.0,1.0,0.08331475303162149,1.0,1.0,1.0,1.0,1.0,0.019157088122605363,0.09770114942528736,0.19540229885057472,0.4904214559386973,0.9808429118773946
pathway19_60_1,1.0,1.0,0.08395811019788883,1.0,1.0,1.0,1.0,1.0,0.019305019305019305,0.09845559845559845,0.1969111969111969,0.4942084942084942,0.9884169884169884
pathway94_60_9,1.0,1.0,0.08527510016177729,1.0,1.0,1.0,1.0,1.0,0.0196078431372549,0.1,0.2,0.5019607843137255,1.0
pathway19_60_9,1.0,1.0,0.08715491198899082,1.0,1.0,1.0,1.0,1.0,0.02004008016032064,0.10220440881763528,0.20440881763527055,0.5130260521042084,1.0
pathway49_60_4,1.0,1.0,0.08315545140058588,1.0,1.0,1.0,1.0,1.0,0.019120458891013385,0.09751434034416825,0.1950286806883365,0.4894837476099426,0.9789674952198852
pathway49_15_1,1.0,1.0,0.08159531159944919,1.0,1.0,1.0,1.0,1.0,0.01876172607879925,0.09568480300187618,0.19136960600375236,0.4803001876172608,0.9606003752345216
pathway94_45_3,1.0,1.0,0.08803704672572149,1.0,1.0,1.0,1.0,1.0,0.020242914979757085,0.10323886639676114,0.20647773279352227,0.5182186234817814,1.0
pathway19_75_4,1.0,1.0,0.0811386214225866,1.0,1.0,1.0,1.0,1.0,0.018656716417910446,0.09514925373134328,0.19029850746268656,0.47761194029850745,0.9552238805970149
pathway94_15_4,1.0,1.0,0.08315545140058588,1.0,1.0,1.0,1.0,1.0,0.019120458891013385,0.09751434034416825,0.1950286806883365,0.4894837476099426,0.9789674952198852
pathway49_60_1,1.0,1.0,0.08315545140058588,1.0,1.0,1.0,1.0,1.0,0.019120458891013385,0.09751434034416825,0.1950286806883365,0.4894837476099426,0.9789674952198852
pathway49_75_6,1.0,1.0,0.08646183117794516,1.0,1.0,1.0,1.0,1.0,0.019880715705765408,0.10139165009940358,0.20278330019880716,0.5089463220675944,1.0
donate_1_middle,1.0,1.0,0.08083699085967734,1.0,1.0,1.0,1.0,1.0,0.01858736059479554,0.09479553903345725,0.1895910780669145,0.4758364312267658,0.9516728624535316
pathway19_30_4,1.0,1.0,0.08444718656797362,1.0,1.0,1.0,1.0,1.0,0.019417475728155338,0.09902912621359224,0.19805825242718447,0.4970873786407767,0.9941747572815534
pathway19_30_0,1.0,1.0,0.08444718656797362,1.0,1.0,1.0,1.0,1.0,0.019417475728155338,0.09902912621359224,0.19805825242718447,0.4970873786407767,0.9941747572815534
halve_2_6,1.0,1.0,0.08803704672572149,1.0,1.0,1.0,1.0,1.0,0.020242914979757085,0.10323886639676114,0.20647773279352227,0.5182186234817814,1.0
pathway94_15_7,1.0,1.0,0.08577968655326709,1.0,1.0,1.0,1.0,1.0,0.01972386587771203,0.10059171597633136,0.20118343195266272,0.504930966469428,1.0
halve_2_2,1.0,1.0,0.08221228938091948,1.0,1.0,1.0,1.0,1.0,0.01890359168241966,0.09640831758034027,0.19281663516068054,0.4839319470699433,0.9678638941398866
pathway19_60_3,1.0,1.0,0.0846114807052654,1.0,1.0,1.0,1.0,1.0,0.019455252918287938,0.09922178988326848,0.19844357976653695,0.4980544747081712,0.9961089494163424
pathway94_15_5,1.0,1.0,0.0847764153655096,1.0,1.0,1.0,1.0,1.0,0.01949317738791423,0.09941520467836257,0.19883040935672514,0.49902534113060426,0.9980506822612085
pathway49_45_2,1.0,1.0,0.0847764153655096,1.0,1.0,1.0,1.0,1.0,0.01949317738791423,0.09941520467836257,0.19883040935672514,0.49902534113060426,0.9980506822612085
pathway19_45_8,1.0,1.0,0.08646183117794516,1.0,1.0,1.0,1.0,1.0,0.019880715705765408,0.10139165009940358,0.20278330019880716,0.5089463220675944,1.0
