direction,AUC,AUPR,LogAUC,recall_1,recall_5,recall_10,recall_25,recall_50,EF_1,EF_5,EF_10,EF_25EF_50
halve_1_5,1.0,1.0,0.08698060216501283,1.0,1.0,1.0,1.0,1.0,0.02,0.102,0.204,0.512,1.0
pathway19_105_2,1.0,1.0,0.08680698818863555,1.0,1.0,1.0,1.0,1.0,0.01996007984031936,0.10179640718562874,0.20359281437125748,0.5109780439121756,1.0
pathway49_75_7,1.0,1.0,0.08785919410607357,1.0,1.0,1.0,1.0,1.0,0.020202020202020204,0.10303030303030303,0.20606060606060606,0.5171717171717172,1.0
pathway49_105_4,1.0,1.0,0.08083699085967734,1.0,1.0,1.0,1.0,1.0,0.01858736059479554,0.09479553903345725,0.1895910780669145,0.4758364312267658,0.9516728624535316
pathway19_30_5,1.0,0.9999999999999999,0.08412050499517681,1.0,1.0,1.0,1.0,1.0,0.019342359767891684,0.09864603481624758,0.19729206963249515,0.4951644100580271,0.9903288201160542
halve_1_0,1.0,1.0,0.08663406590140721,1.0,1.0,1.0,1.0,1.0,0.0199203187250996,0.10159362549800798,0.20318725099601595,0.5099601593625498,1.0
pathway94_15_1,1.0,0.9999999999999999,0.0891194694313656,1.0,1.0,1.0,1.0,1.0,0.020491803278688523,0.10450819672131148,0.20901639344262296,0.5245901639344263,1.0
pathway49_15_3,1.0,0.9999999999999999,0.08985599397212068,1.0,1.0,1.0,1.0,1.0,0.02066115702479339,0.10537190082644628,0.21074380165289255,0.5289256198347108,1.0
pathway49_60_5,1.0,1.0,0.08680698818863555,1.0,1.0,1.0,1.0,1.0,0.01996007984031936,0.10179640718562874,0.20359281437125748,0.5109780439121756,1.0
pathway19_75_5,1.0,1.0,0.08732992185242253,1.0,1.0,1.0,1.0,1.0,0.020080321285140562,0.10240963855421686,0.20481927710843373,0.5140562248995983,1.0
pathway49_60_7,1.0,1.0,0.08252429047913931,1.0,1.0,1.0,1.0,1.0,0.018975332068311195,0.0967741935483871,0.1935483870967742,0.4857685009487666,0.9715370018975332
pathway49_15_4,1.0,1.0,0.08663406590140721,1.0,1.0,1.0,1.0,1.0,0.0199203187250996,0.10159362549800798,0.20318725099601595,0.5099601593625498,1.0
pathway94_45_4,1.0,1.0,0.0842835292296636,1.0,1.0,1.0,1.0,1.0,0.01937984496124031,0.09883720930232558,0.19767441860465115,0.49612403100775193,0.9922480620155039
pathway49_90_8,1.0,1.0,0.08379634119943433,1.0,1.0,1.0,1.0,1.0,0.019267822736030827,0.09826589595375723,0.19653179190751446,0.4932562620423892,0.9865125240847784
pathway94_30_9,1.0,1.0,0.08510822129649005,1.0,1.0,1.0,1.0,1.0,0.019569471624266144,0.09980430528375733,0.19960861056751467,0.5009784735812133,1.0
pathway19_120_8,1.0,1.0,0.08283866872858366,1.0,1.0,1.0,1.0,1.0,0.01904761904761905,0.09714285714285714,0.19428571428571428,0.4876190476190476,0.9752380952380952
pathway19_120_2,1.0,1.0,0.0811386214225866,1.0,1.0,1.0,1.0,1.0,0.018656716417910446,0.09514925373134328,0.19029850746268656,0.47761194029850745,0.9552238805970149
pathway49_90_2,1.0,1.0,0.08347466618523304,1.0,1.0,1.0,1.0,1.0,0.019193857965451054,0.09788867562380038,0.19577735124760076,0.491362763915547,0.982725527831094
pathway49_60_9,1.0,1.0,0.08715491198899082,1.0,1.0,1.0,1.0,1.0,0.02004008016032064,0.10220440881763528,0.20440881763527055,0.5130260521042084,1.0
pathway49_60_6,1.0,0.9999999999999999,0.09079394798018041,1.0,1.0,1.0,1.0,1.0,0.020876826722338204,0.10647181628392484,0.21294363256784968,0.534446764091858,1.0
pathway19_90_2,1.0,1.0,0.08315545140058588,1.0,1.0,1.0,1.0,1.0,0.019120458891013385,0.09751434034416825,0.1950286806883365,0.4894837476099426,0.9789674952198852
pathway19_60_4,1.0,1.0,0.08494199430177032,1.0,1.0,1.0,1.0,1.0,0.01953125,0.099609375,0.19921875,0.5,1.0
pathway19_135_3,1.0,0.9999999999999999,0.08252429047913931,1.0,1.0,1.0,1.0,1.0,0.018975332068311195,0.0967741935483871,0.1935483870967742,0.4857685009487666,0.9715370018975332
pathway94_15_9,1.0,1.0,0.08785919410607357,1.0,1.0,1.0,1.0,1.0,0.020202020202020204,0.10303030303030303,0.20606060606060606,0.5171717171717172,1.0
pathway19_15_5,1.0,1.0,0.0842835292296636,1.0,1.0,1.0,1.0,1.0,0.01937984496124031,0.09883720930232558,0.19767441860465115,0.49612403100775193,0.9922480620155039
pathway49_105_7,1.0,1.0,0.08663406590140721,1.0,1.0,1.0,1.0,1.0,0.0199203187250996,0.10159362549800798,0.20318725099601595,0.5099601593625498,1.0
pathway49_60_2,1.0,1.0,0.0796525660851766,1.0,1.0,1.0,1.0,1.0,0.018315018315018316,0.09340659340659341,0.18681318681318682,0.46886446886446886,0.9377289377289377
pathway49_105_5,1.0,1.0,0.08839492089940329,1.0,1.0,1.0,1.0,1.0,0.02032520325203252,0.10365853658536585,0.2073170731707317,0.5203252032520326,1.0
pathway19_105_9,1.0,1.0,0.0842835292296636,1.0,1.0,1.0,1.0,1.0,0.01937984496124031,0.09883720930232558,0.19767441860465115,0.49612403100775193,0.9922480620155039
pathway94_60_1,1.0,1.0,0.08283866872858366,1.0,1.0,1.0,1.0,1.0,0.01904761904761905,0.09714285714285714,0.19428571428571428,0.4876190476190476,0.9752380952380952
pathway19_120_9,1.0,1.0,0.08144251139046145,1.0,1.0,1.0,1.0,1.0,0.018726591760299626,0.09550561797752809,0.19101123595505617,0.4794007490636704,0.9588014981273408
pathway94_45_9,1.0,1.0,0.08395811019788883,1.0,1.0,1.0,1.0,1.0,0.019305019305019305,0.09845559845559845,0.1969111969111969,0.4942084942084942,0.9884169884169884
pathway49_45_9,1.0,1.0,0.08009263551106154,1.0,1.0,1.0,1.0,1.0,0.01841620626151013,0.09392265193370165,0.1878453038674033,0.4714548802946593,0.9429097605893186
pathway94_60_3,1.0,1.0,0.08395811019788883,1.0,1.0,1.0,1.0,1.0,0.019305019305019305,0.09845559845559845,0.1969111969111969,0.4942084942084942,0.9884169884169884
pathway49_105_9,1.0,1.0,0.08715491198899082,1.0,1.0,1.0,1.0,1.0,0.02004008016032064,0.10220440881763528,0.20440881763527055,0.5130260521042084,1.0
pathway49_30_4,1.0,1.0,0.08494199430177032,1.0,1.0,1.0,1.0,1.0,0.01953125,0.099609375,0.19921875,0.5,1.0
pathway49_90_6,1.0,1.0,0.08510822129649005,1.0,1.0,1.0,1.0,1.0,0.019569471624266144,0.09980430528375733,0.19960861056751467,0.5009784735812133,1.0
pathway49_15_8,1.0,1.0,0.08803704672572149,1.0,1.0,1.0,1.0,1.0,0.020242914979757085,0.10323886639676114,0.20647773279352227,0.5182186234817814,1.0
pathway49_30_6,1.0,1.0,0.08698060216501283,1.0,1.0,1.0,1.0,1.0,0.02,0.102,0.204,0.512,1.0
pathway49_30_5,1.0,1.0,0.08629027992560798,1.0,1.0,1.0,1.0,1.0,0.01984126984126984,0.10119047619047619,0.20238095238095238,0.5079365079365079,1.0
pathway49_45_0,1.0,1.0,0.08732992185242253,1.0,1.0,1.0,1.0,1.0,0.020080321285140562,0.10240963855421686,0.20481927710843373,0.5140562248995983,1.0
pathway19_90_0,1.0,1.0,0.08252429047913931,1.0,1.0,1.0,1.0,1.0,0.018975332068311195,0.0967741935483871,0.1935483870967742,0.4857685009487666,0.9715370018975332
pathway49_75_8,1.0,1.0,0.08159531159944919,1.0,1.0,1.0,1.0,1.0,0.01876172607879925,0.09568480300187618,0.19136960600375236,0.4803001876172608,0.9606003752345216
pathway94_60_0,1.0,0.9999999999999999,0.0893024662885142,1.0,1.0,1.0,1.0,1.0,0.02053388090349076,0.10472279260780287,0.20944558521560575,0.5256673511293635,1.0
pathway94_60_8,1.0,1.0,0.08009263551106154,1.0,1.0,1.0,1.0,1.0,0.01841620626151013,0.09392265193370165,0.1878453038674033,0.4714548802946593,0.9429097605893186
pathway94_45_2,1.0,1.0,0.08646183117794516,1.0,1.0,1.0,1.0,1.0,0.019880715705765408,0.10139165009940358,0.20278330019880716,0.5089463220675944,1.0
pathway19_120_7,1.0,1.0,0.08444718656797362,1.0,1.0,1.0,1.0,1.0,0.019417475728155338,0.09902912621359224,0.19805825242718447,0.4970873786407767,0.9941747572815534
pathway49_105_2,1.0,1.0,0.08444718656797362,1.0,1.0,1.0,1.0,1.0,0.019417475728155338,0.09902912621359224,0.19805825242718447,0.4970873786407767,0.9941747572815534
pathway19_120_0,1.0,0.9999999999999999,0.08331475303162149,1.0,1.0,1.0,1.0,1.0,0.019157088122605363,0.09770114942528736,0.19540229885057472,0.4904214559386973,0.9808429118773946
pathway49_30_0,1.0,1.0,0.08785919410607357,1.0,1.0,1.0,1.0,1.0,0.020202020202020204,0.10303030303030303,0.20606060606060606,0.5171717171717172,1.0
pathway49_45_6,1.0,1.0,0.08299675779104278,1.0,1.0,1.0,1.0,1.0,0.019083969465648856,0.09732824427480916,0.1946564885496183,0.48854961832061067,0.9770992366412213
donate_2_less,1.0,1.0,0.0817486862453128,1.0,1.0,1.0,1.0,1.0,0.018796992481203006,0.09586466165413533,0.19172932330827067,0.48120300751879697,0.9624060150375939
pathway94_15_0,1.0,1.0,0.08395811019788883,1.0,1.0,1.0,1.0,1.0,0.019305019305019305,0.09845559845559845,0.1969111969111969,0.4942084942084942,0.9884169884169884
pathway49_60_3,1.0,1.0,0.08715491198899082,1.0,1.0,1.0,1.0,1.0,0.02004008016032064,0.10220440881763528,0.20440881763527055,0.5130260521042084,1.0
halve_1_1,1.0,1.0,0.08379634119943433,1.0,1.0,1.0,1.0,1.0,0.019267822736030827,0.09826589595375723,0.19653179190751446,0.4932562620423892,0.9865125240847784
pathway19_135_2,1.0,0.9999999999999999,0.08594921162550676,1.0,1.0,1.0,1.0,1.0,0.019762845849802372,0.1007905138339921,0.2015810276679842,0.5059288537549407,1.0
pathway19_105_6,1.0,1.0,0.0817486862453128,1.0,1.0,1.0,1.0,1.0,0.018796992481203006,0.09586466165413533,0.19172932330827067,0.48120300751879697,0.9624060150375939
pathway19_45_5,1.0,1.0,0.08646183117794516,1.0,1.0,1.0,1.0,1.0,0.019880715705765408,0.10139165009940358,0.20278330019880716,0.5089463220675944,1.0
pathway19_45_9,1.0,1.0,0.08768205863408551,1.0,1.0,1.0,1.0,1.0,0.020161290322580645,0.1028225806451613,0.2056451612903226,0.5161290322580645,1.0
pathway19_75_6,1.0,1.0,0.08875571649491105,1.0,1.0,1.0,1.0,1.0,0.02040816326530612,0.10408163265306122,0.20816326530612245,0.5224489795918368,1.0
pathway49_90_1,1.0,1.0,0.0847764153655096,1.0,1.0,1.0,1.0,1.0,0.01949317738791423,0.09941520467836257,0.19883040935672514,0.49902534113060426,0.9980506822612085
pathway49_90_0,1.0,1.0,0.08412050499517681,1.0,1.0,1.0,1.0,1.0,0.019342359767891684,0.09864603481624758,0.19729206963249515,0.4951644100580271,0.9903288201160542
pathway49_90_5,1.0,1.0,0.08412050499517681,1.0,1.0,1.0,1.0,1.0,0.019342359767891684,0.09864603481624758,0.19729206963249515,0.4951644100580271,0.9903288201160542
pathway94_45_8,1.0,1.0,0.08299675779104278,1.0,1.0,1.0,1.0,1.0,0.019083969465648856,0.09732824427480916,0.1946564885496183,0.48854961832061067,0.9770992366412213
pathway19_30_1,1.0,1.0,0.08768205863408551,1.0,1.0,1.0,1.0,1.0,0.020161290322580645,0.1028225806451613,0.2056451612903226,0.5161290322580645,1.0
pathway19_60_2,1.0,1.0,0.09214046839514071,1.0,1.0,1.0,1.0,1.0,0.0211864406779661,0.10805084745762712,0.21610169491525424,0.5423728813559322,1.0
pathway49_45_4,1.0,0.9999999999999999,0.08268118076522132,1.0,1.0,1.0,1.0,1.0,0.019011406844106463,0.09695817490494296,0.19391634980988592,0.4866920152091255,0.973384030418251
pathway49_15_0,1.0,1.0,0.08252429047913931,1.0,1.0,1.0,1.0,1.0,0.018975332068311195,0.0967741935483871,0.1935483870967742,0.4857685009487666,0.9715370018975332
pathway49_90_4,1.0,1.0,0.08561082890257168,1.0,1.0,1.0,1.0,1.0,0.01968503937007874,0.10039370078740158,0.20078740157480315,0.5039370078740157,1.0
pathway94_60_6,1.0,1.0,0.08544263473969826,1.0,1.0,1.0,1.0,1.0,0.019646365422396856,0.10019646365422397,0.20039292730844793,0.5029469548133595,1.0
pathway19_135_9,1.0,1.0,0.08611940808417112,1.0,1.0,1.0,1.0,1.0,0.019801980198019802,0.100990099009901,0.201980198019802,0.5069306930693069,1.0
pathway49_105_0,1.0,1.0,0.08577968655326709,1.0,1.0,1.0,1.0,1.0,0.01972386587771203,0.10059171597633136,0.20118343195266272,0.504930966469428,1.0
halve_2_0,1.0,1.0,0.0811386214225866,1.0,1.0,1.0,1.0,1.0,0.018656716417910446,0.09514925373134328,0.19029850746268656,0.47761194029850745,0.9552238805970149
