Epoch,ACC,AUC,AUPR,F1,LOSS,recall_1,recall_5,recall_10,recall_25,recall_50
1,0.55859375,0.5863318684001709,0.5287770669291338,0.5767790262172285,0.6896814753999934,1.0,1.0,1.0,1.0,1.0
2,0.576171875,0.6146653543307087,0.5397149446574112,0.5974025974025974,0.6857705421862192,1.0,1.0,1.0,1.0,1.0
3,0.580078125,0.6382645119941404,0.5416841045323997,0.6532258064516129,0.6827151192119345,1.0,1.0,1.0,1.0,1.0
4,0.5791015625,0.6747009094793384,0.5409828293732889,0.6901509705248021,0.6790987162967212,1.0,1.0,1.0,1.0,1.0
5,0.56640625,0.7209149728376978,0.5335699559217031,0.6899441340782123,0.6732652782811783,1.0,1.0,1.0,1.0,1.0
6,0.5693359375,0.7699864188488067,0.535286659782668,0.6952315134761576,0.6653622947924305,1.0,1.0,1.0,1.0,1.0
7,0.564453125,0.8246467374717694,0.5324912352982532,0.6945205479452056,0.6581151736609172,1.0,1.0,1.0,1.0,1.0
8,0.5380859375,0.8642151925776721,0.5178389398572885,0.6823371390194761,0.66269373652176,1.0,1.0,1.0,1.0,1.0
9,0.529296875,0.8923045229811389,0.5131313131313131,0.678237650200267,0.6643355921842158,1.0,1.0,1.0,1.0,1.0
10,0.529296875,0.9151254349020326,0.5131313131313131,0.678237650200267,0.6622492232272634,1.0,1.0,1.0,1.0,1.0
11,0.541015625,0.933990264298358,0.5194274028629857,0.6837146702557201,0.6563147373817628,1.0,1.0,1.0,1.0,1.0
12,0.5517578125,0.9509857779405482,0.5253360910031024,0.6888135593220339,0.6437923609482823,1.0,1.0,1.0,1.0,1.0
13,0.57421875,0.9601912042971372,0.538135593220339,0.699724517906336,0.6271171379921725,1.0,1.0,1.0,1.0,1.0
14,0.6005859375,0.9678325093084296,0.5539803707742639,0.7129824561403508,0.5997767362714512,1.0,1.0,1.0,1.0,1.0
15,0.6318359375,0.9747413477385094,0.5740112994350283,0.7293610911701364,0.5693683984136442,1.0,1.0,1.0,1.0,1.0
16,0.6845703125,0.9804599279741195,0.6113116726835138,0.758775205377147,0.5273390099609969,1.0,1.0,1.0,1.0,1.0
17,0.7353515625,0.985426966977965,0.6521181001283697,0.7894327894327894,0.48785573256463977,1.0,1.0,1.0,1.0,1.0
18,0.7939453125,0.989112189464689,0.7065368567454798,0.8280358598207009,0.43570229122633464,1.0,1.0,1.0,1.0,1.0
19,0.8466796875,0.9916987120795946,0.7639097744360902,0.86615515771526,0.3895248380540579,1.0,1.0,1.0,1.0,1.0
20,0.873046875,0.9936672160166026,0.7962382445141066,0.8865619546247819,0.35315440879639937,1.0,1.0,1.0,1.0,1.0
21,0.90625,0.9951817432704634,0.8410596026490066,0.9136690647482013,0.32003671568236314,1.0,1.0,1.0,1.0,1.0
22,0.93359375,0.996402520905817,0.8819444444444444,0.9372693726937269,0.2889375419490534,1.0,1.0,1.0,1.0,1.0
23,0.9580078125,0.9973600683635476,0.9219600725952813,0.9593956562795091,0.2562856435934009,1.0,1.0,1.0,1.0,1.0
24,0.96484375,0.9980849050845388,0.9338235294117647,0.9657794676806084,0.2305929892149834,1.0,1.0,1.0,1.0,1.0
25,0.9716796875,0.998634255020448,0.9459962756052142,0.9722488038277511,0.2102803238612978,1.0,1.0,1.0,1.0,1.0
26,0.98046875,0.9990882317035952,0.9621212121212122,0.9806949806949807,0.19108421679629828,1.0,1.0,1.0,1.0,1.0
27,0.9833984375,0.9993590917414393,0.9676190476190476,0.9835430784123911,0.171507267572224,1.0,1.0,1.0,1.0,1.0
