Epoch,ACC,AUC,AUPR,F1,LOSS,recall_1,recall_5,recall_10,recall_25,recall_50
1,0.48828125,0.5815733088460362,0.5344707929994388,0.1353135313531353,0.6929753214935772,1.0,1.0,1.0,1.0,1.0
2,0.591796875,0.6304063360881542,0.5775681945231796,0.6294326241134752,0.6880076073575765,1.0,1.0,1.0,1.0,1.0
3,0.591796875,0.6642370676461585,0.5669059358081979,0.7018544935805991,0.685640555806458,1.0,1.0,1.0,1.0,1.0
4,0.576171875,0.67414294459749,0.5556562400864461,0.705563093622795,0.6836730313370936,1.0,1.0,1.0,1.0,1.0
5,0.5556640625,0.6892561983471074,0.5431736016532365,0.7004608294930876,0.6817980495980009,1.0,1.0,1.0,1.0,1.0
6,0.5673828125,0.7106309305172942,0.5496973427308617,0.7068166776968895,0.678432664484717,1.0,1.0,1.0,1.0,1.0
7,0.5791015625,0.7393709825528006,0.5565650291831146,0.7120908483633933,0.6725517431623302,1.0,1.0,1.0,1.0,1.0
8,0.580078125,0.7679407713498623,0.5570771898921364,0.7129506008010681,0.6686464547237847,1.0,1.0,1.0,1.0,1.0
9,0.58203125,0.7970481328435874,0.5581670466297456,0.7142857142857143,0.6633833584201057,1.0,1.0,1.0,1.0,1.0
10,0.587890625,0.8276400367309459,0.5616541321389666,0.7171581769436997,0.6549074253707658,1.0,1.0,1.0,1.0,1.0
11,0.61328125,0.8532598714416896,0.5773600965007215,0.7295081967213115,0.641182147199288,1.0,1.0,1.0,1.0,1.0
12,0.634765625,0.8774908172635445,0.591299138488544,0.7406380027739251,0.6262770124594681,1.0,1.0,1.0,1.0,1.0
13,0.6611328125,0.8920148454239363,0.609364136904762,0.7547703180212015,0.6119447805394884,1.0,1.0,1.0,1.0,1.0
14,0.6943359375,0.9049242424242423,0.6337626647344431,0.7733526430123099,0.5932081438950263,1.0,1.0,1.0,1.0,1.0
15,0.7236328125,0.9170110192837466,0.6574226028726708,0.7895910780669145,0.5700453231547726,1.0,1.0,1.0,1.0,1.0
16,0.76171875,0.9275022956841138,0.6906362862371535,0.8128834355828222,0.5424658591946354,1.0,1.0,1.0,1.0,1.0
17,0.7978515625,0.9372053872053874,0.7252885757361557,0.8366219415943174,0.5171175492578186,1.0,1.0,1.0,1.0,1.0
18,0.837890625,0.9461317722681359,0.7683797226960147,0.8643790849673203,0.4888676888804184,1.0,1.0,1.0,1.0,1.0
19,0.857421875,0.9546564126109581,0.7915777630916415,0.8785357737104825,0.46071734455654223,1.0,1.0,1.0,1.0,1.0
20,0.8818359375,0.9627716559534741,0.821734478695734,0.8973706530958439,0.4348673237964249,1.0,1.0,1.0,1.0,1.0
21,0.90234375,0.9693028772574227,0.849292469173259,0.9136442141623489,0.4064840561686651,1.0,1.0,1.0,1.0,1.0
22,0.908203125,0.9751913070094889,0.8580575478142076,0.9182608695652174,0.37901422422328324,1.0,1.0,1.0,1.0,1.0
23,0.9189453125,0.9800619834710744,0.8718469137396694,0.9275109170305676,0.35228758600260335,1.0,1.0,1.0,1.0,1.0
24,0.9267578125,0.9841291704928068,0.882801679496692,0.9341527655838454,0.3284846180667955,1.0,1.0,1.0,1.0,1.0
25,0.9423828125,0.9876339149066422,0.9074981847030981,0.9473684210526316,0.3032586416547929,1.0,1.0,1.0,1.0,1.0
26,0.9482421875,0.9905915212733394,0.9168760190217391,0.9524663677130045,0.2832537318809045,1.0,1.0,1.0,1.0,1.0
27,0.953125,0.9929713804713804,0.9241036162911163,0.9568345323741007,0.2604717820620408,1.0,1.0,1.0,1.0,1.0
28,0.9580078125,0.9948385368839914,0.929175171095008,0.9614349775784754,0.24601624201727645,1.0,1.0,1.0,1.0,1.0
29,0.962890625,0.9961394245485155,0.9357639392986192,0.9658886894075405,0.23557273398228062,1.0,1.0,1.0,1.0,1.0
30,0.9677734375,0.9973293541475359,0.943969658229187,0.9702434625788999,0.21732847473913353,1.0,1.0,1.0,1.0,1.0
31,0.97265625,0.9981060606060607,0.9515098696587488,0.9746835443037974,0.2002486699129804,1.0,1.0,1.0,1.0,1.0
32,0.9765625,0.9986914600550963,0.958275231275537,0.9782214156079855,0.18930837315974713,1.0,1.0,1.0,1.0,1.0
33,0.978515625,0.9991888582797674,0.9616941550925926,0.98,0.1726109987775999,1.0,1.0,1.0,1.0,1.0
34,0.9814453125,0.9994949494949495,0.9660107334525939,0.9827115559599635,0.15940553208247366,1.0,1.0,1.0,1.0,1.0
35,0.982421875,0.9996135598408326,0.967741935483871,0.9836065573770492,0.15759969227292459,1.0,1.0,1.0,1.0,1.0
36,0.982421875,0.9996786042240587,0.967741935483871,0.9836065573770492,0.1539557327860166,1.0,1.0,1.0,1.0,1.0
37,0.982421875,0.9997513008876646,0.967741935483871,0.9836065573770492,0.1517990069842199,1.0,1.0,1.0,1.0,1.0
38,0.984375,0.9998316498316498,0.9712230215827338,0.9854014598540146,0.14587741294280931,1.0,1.0,1.0,1.0,1.0
39,0.9853515625,0.9998775635139271,0.972972972972973,0.9863013698630138,0.1403735302160385,1.0,1.0,1.0,1.0,1.0
40,0.98828125,0.9999426078971533,0.9782608695652174,0.989010989010989,0.13589554129339376,1.0,1.0,1.0,1.0,1.0
41,0.9892578125,0.9999732170186715,0.9800362976406534,0.9899175068744271,0.1278219137452652,1.0,1.0,1.0,1.0,1.0
42,0.9912109375,0.9999770431588613,0.9836065573770492,0.9917355371900827,0.1277805710087705,1.0,1.0,1.0,1.0,1.0
43,0.9931640625,0.9999846954392408,0.9872029250457038,0.9935602575896963,0.12557865473308993,1.0,1.0,1.0,1.0,1.0
44,0.9951171875,0.9999923477196204,0.9908256880733946,0.9953917050691244,0.1251319373664046,1.0,1.0,1.0,1.0,1.0
45,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12455587148406266,1.0,1.0,1.0,1.0,1.0
46,0.9931640625,1.0,0.9872029250457038,0.9935602575896963,0.12348322233856379,1.0,1.0,1.0,1.0,1.0
47,0.9951171875,1.0,0.9908256880733946,0.9953917050691244,0.12125996063059574,1.0,1.0,1.0,1.0,1.0
48,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.12419019072331139,1.0,1.0,1.0,1.0,1.0
49,0.994140625,1.0,0.989010989010989,0.994475138121547,0.12324041645842954,1.0,1.0,1.0,1.0,1.0
50,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12297725881489896,1.0,1.0,1.0,1.0,1.0
51,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12148673693445744,1.0,1.0,1.0,1.0,1.0
52,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12282319947644282,1.0,1.0,1.0,1.0,1.0
53,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12318319699625135,1.0,1.0,1.0,1.0,1.0
54,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11792438185193532,1.0,1.0,1.0,1.0,1.0
55,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11614913655284909,1.0,1.0,1.0,1.0,1.0
56,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11973434360061219,1.0,1.0,1.0,1.0,1.0
57,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12178809613760677,1.0,1.0,1.0,1.0,1.0
58,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12182383375329664,1.0,1.0,1.0,1.0,1.0
59,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11812644676547279,1.0,1.0,1.0,1.0,1.0
60,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11843329568000627,1.0,1.0,1.0,1.0,1.0
61,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11557361556697288,1.0,1.0,1.0,1.0,1.0
62,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.1154985421053425,1.0,1.0,1.0,1.0,1.0
63,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11557699216609763,1.0,1.0,1.0,1.0,1.0
64,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.11930894059059938,1.0,1.0,1.0,1.0,1.0
65,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11744656647078955,1.0,1.0,1.0,1.0,1.0
66,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.11962443446918769,1.0,1.0,1.0,1.0,1.0
67,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12080282459101,1.0,1.0,1.0,1.0,1.0
68,0.9931640625,1.0,0.9872029250457038,0.9935602575896963,0.12497984384117444,1.0,1.0,1.0,1.0,1.0
69,0.9951171875,1.0,0.9908256880733946,0.9953917050691244,0.12434197032325756,1.0,1.0,1.0,1.0,1.0
70,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12515554316632915,1.0,1.0,1.0,1.0,1.0
71,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12472776643880934,1.0,1.0,1.0,1.0,1.0
72,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12261435448181146,1.0,1.0,1.0,1.0,1.0
73,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12207331891113427,1.0,1.0,1.0,1.0,1.0
74,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12329744117687369,1.0,1.0,1.0,1.0,1.0
75,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12180200344391778,1.0,1.0,1.0,1.0,1.0
76,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.12204979824946349,1.0,1.0,1.0,1.0,1.0
77,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11969212834901555,1.0,1.0,1.0,1.0,1.0
78,0.99609375,1.0,0.9926470588235294,0.996309963099631,0.11971949039616447,1.0,1.0,1.0,1.0,1.0
79,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11583866061937442,1.0,1.0,1.0,1.0,1.0
80,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11373378425832925,1.0,1.0,1.0,1.0,1.0
81,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11225299253146659,1.0,1.0,1.0,1.0,1.0
82,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11290720834904278,1.0,1.0,1.0,1.0,1.0
83,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11035157788683136,1.0,1.0,1.0,1.0,1.0
84,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11528754920527717,1.0,1.0,1.0,1.0,1.0
85,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11345864026179697,1.0,1.0,1.0,1.0,1.0
86,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11445857551689187,1.0,1.0,1.0,1.0,1.0
87,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11376828740958445,1.0,1.0,1.0,1.0,1.0
88,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11422166055581329,1.0,1.0,1.0,1.0,1.0
89,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11265997305554265,1.0,1.0,1.0,1.0,1.0
90,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11299108362572952,1.0,1.0,1.0,1.0,1.0
91,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.1132820541511137,1.0,1.0,1.0,1.0,1.0
92,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11403827209005613,1.0,1.0,1.0,1.0,1.0
93,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11476344678021633,1.0,1.0,1.0,1.0,1.0
94,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.1156173721592495,1.0,1.0,1.0,1.0,1.0
95,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11655402337282794,1.0,1.0,1.0,1.0,1.0
96,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11854163756743219,1.0,1.0,1.0,1.0,1.0
97,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.11973881427456945,1.0,1.0,1.0,1.0,1.0
98,0.9970703125,1.0,0.994475138121547,0.9972299168975068,0.12024586652933067,1.0,1.0,1.0,1.0,1.0
