Epoch,ACC,AUC,AUPR,F1,LOSS,recall_1,recall_5,recall_10,recall_25,recall_50
50,1.0,1.0,1.0,1.0,0.021372994370040033,1.0,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0,0.02208515393408561,1.0,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,1.0,0.02217944235064806,1.0,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0,0.021801302989047144,1.0,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0,0.02242001436195551,1.0,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,0.022181571736723527,1.0,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0,0.020750843009750497,1.0,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0,0.020362835897003606,1.0,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0,0.021063181916474605,1.0,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0,0.021403555995220813,1.0,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,0.021600362384560867,1.0,1.0,1.0,1.0,1.0
61,1.0,1.0,1.0,1.0,0.021558062424333002,1.0,1.0,1.0,1.0,1.0
62,1.0,1.0,1.0,1.0,0.021965061748119297,1.0,1.0,1.0,1.0,1.0
63,1.0,1.0,1.0,1.0,0.021606929385029616,1.0,1.0,1.0,1.0,1.0
64,1.0,1.0,1.0,1.0,0.021772948844841267,1.0,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,0.020777314053361806,1.0,1.0,1.0,1.0,1.0
66,1.0,1.0,1.0,1.0,0.02017942847840004,1.0,1.0,1.0,1.0,1.0
67,1.0,1.0,1.0,1.0,0.01995105257662999,1.0,1.0,1.0,1.0,1.0
68,1.0,1.0,1.0,1.0,0.020324161366943372,1.0,1.0,1.0,1.0,1.0
69,1.0,1.0,1.0,1.0,0.020638611736444545,1.0,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0,0.02081157715599602,1.0,1.0,1.0,1.0,1.0
71,1.0,1.0,1.0,1.0,0.020425173729336166,1.0,1.0,1.0,1.0,1.0
72,1.0,1.0,1.0,1.0,0.020436548704310553,1.0,1.0,1.0,1.0,1.0
73,1.0,1.0,1.0,1.0,0.020432909003716304,1.0,1.0,1.0,1.0,1.0
74,1.0,1.0,1.0,1.0,0.02098481655514206,1.0,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,0.020433525742987513,1.0,1.0,1.0,1.0,1.0
76,1.0,1.0,1.0,1.0,0.02074027703270076,1.0,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0,0.02039848808954048,1.0,1.0,1.0,1.0,1.0
78,1.0,1.0,1.0,1.0,0.01998430566936804,1.0,1.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0,0.020035925071056226,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,0.020642266678692067,1.0,1.0,1.0,1.0,1.0
81,1.0,1.0,1.0,1.0,0.02004937777712712,1.0,1.0,1.0,1.0,1.0
82,1.0,1.0,1.0,1.0,0.02096400380457908,1.0,1.0,1.0,1.0,1.0
83,1.0,1.0,1.0,1.0,0.02087801851291715,1.0,1.0,1.0,1.0,1.0
84,1.0,1.0,1.0,1.0,0.020851479810744422,1.0,1.0,1.0,1.0,1.0
85,1.0,1.0,1.0,1.0,0.021032014912293562,1.0,1.0,1.0,1.0,1.0
86,1.0,1.0,1.0,1.0,0.02097738369036506,1.0,1.0,1.0,1.0,1.0
87,1.0,1.0,1.0,1.0,0.02167409761034378,1.0,1.0,1.0,1.0,1.0
88,1.0,1.0,1.0,1.0,0.021710770419076653,1.0,1.0,1.0,1.0,1.0
89,1.0,1.0,1.0,1.0,0.02156479494692576,1.0,1.0,1.0,1.0,1.0
90,1.0,1.0,1.0,1.0,0.020912021701406047,1.0,1.0,1.0,1.0,1.0
91,1.0,1.0,1.0,1.0,0.020708130806497138,1.0,1.0,1.0,1.0,1.0
92,1.0,1.0,1.0,1.0,0.02076460515911549,1.0,1.0,1.0,1.0,1.0
93,1.0,1.0,1.0,1.0,0.02111412402541646,1.0,1.0,1.0,1.0,1.0
94,1.0,1.0,1.0,1.0,0.021887896961743536,1.0,1.0,1.0,1.0,1.0
95,1.0,1.0,1.0,1.0,0.022525290958469668,1.0,1.0,1.0,1.0,1.0
96,1.0,1.0,1.0,1.0,0.02143180900270636,1.0,1.0,1.0,1.0,1.0
97,1.0,1.0,1.0,1.0,0.021429423561016847,1.0,1.0,1.0,1.0,1.0
98,1.0,1.0,1.0,1.0,0.02138965936853765,1.0,1.0,1.0,1.0,1.0
99,1.0,1.0,1.0,1.0,0.020851979012377342,1.0,1.0,1.0,1.0,1.0
100,1.0,1.0,1.0,1.0,0.02100364495163376,1.0,1.0,1.0,1.0,1.0
