Epoch,ACC,AUC,Precision,Recall,AUPR,F1,LOSS
1,0.5107421875,0.564159494598059,0.5039637599093998,0.8759842519685039,0.5029877547434702,0.6398274622573689,0.6911137672141194
2,0.5029296875,0.6239032075932368,0.4995083579154376,1.0,0.4995083579154376,0.6662295081967213,0.6902290258440189
3,0.5009765625,0.6658388268326924,0.49852507374631266,0.9980314960629921,0.4985202876759459,0.6649180327868852,0.6879559604567476
4,0.5,0.704724409448819,0.4980392156862745,1.0,0.4980392156862745,0.6649214659685864,0.6849574951920658
5,0.513671875,0.7334393883904048,0.5049701789264414,1.0,0.5049701789264414,0.6710700132100397,0.679715343634598
6,0.5400390625,0.7597700360129402,0.518974358974359,0.9960629921259843,0.5188842778366646,0.6824005394470667,0.6692164757696446
7,0.6044921875,0.7920634193981567,0.5571587125416204,0.9881889763779528,0.5564374728265619,0.7125621007806955,0.6539936340996064
8,0.6533203125,0.8297549288897028,0.5918367346938775,0.9704724409448819,0.5890096780592158,0.7352721849366144,0.6313642527675256
9,0.7119140625,0.8644364585240799,0.6410596026490066,0.952755905511811,0.634210822208896,0.7664291369754552,0.6002463564655045
10,0.75390625,0.9001060550570713,0.6823361823361823,0.9429133858267716,0.6717042324587231,0.7917355371900827,0.5613229243972455
11,0.806640625,0.9324375877433926,0.7384615384615385,0.9448818897637795,0.7251026839794065,0.8290155440414507,0.5145623457647162
12,0.8583984375,0.9580624732954892,0.7990115321252059,0.9547244094488189,0.7852967506510332,0.8699551569506726,0.4608949905305053
13,0.9013671875,0.9752678080937558,0.8627450980392157,0.952755905511811,0.8454229871082292,0.9055191768007483,0.3995771646950743
14,0.931640625,0.986197582860282,0.9211538461538461,0.9429133858267716,0.8968886044442761,0.9319066147859921,0.3437086575104331
15,0.947265625,0.9930491973387048,0.9468503937007874,0.9468503937007874,0.922892855551336,0.9468503937007874,0.2840069449521252
16,0.9638671875,0.9965780076908991,0.9719438877755511,0.9547244094488189,0.950399491773902,0.9632571996027806,0.23248080820758332
17,0.9775390625,0.9986189953000061,0.9840319361277445,0.9704724409448819,0.9696243125216104,0.9772051536174431,0.18687268623330056
18,0.984375,0.9995193188060795,0.992,0.9763779527559056,0.9802856791338583,0.9841269841269842,0.15284775904069647
19,0.994140625,0.9998359580052494,0.998015873015873,0.9901574803149606,0.9930756946397326,0.9940711462450593,0.12125100270736766
20,0.99609375,0.9999427760483428,0.9980237154150198,0.9940944881889764,0.9950595620759547,0.9960552268244576,0.0934541349807887
21,0.9990234375,0.9999809253494476,1.0,0.9980314960629921,0.9990080585629921,0.9990147783251232,0.0748715317913593
22,0.9990234375,0.999992370139779,1.0,0.9980314960629921,0.9990080585629921,0.9990147783251232,0.06597662707815743
23,0.9990234375,0.9999961850698895,1.0,0.9980314960629921,0.9990080585629921,0.9990147783251232,0.06051963835227525
24,0.9990234375,1.0,1.0,0.9980314960629921,0.9990080585629921,0.9990147783251232,0.053872063347967014
25,0.9990234375,1.0,1.0,0.9980314960629921,0.9990080585629921,0.9990147783251232,0.049434159343491046
26,0.9990234375,1.0,1.0,0.9980314960629921,0.9990080585629921,0.9990147783251232,0.04487500311040549
27,0.9990234375,1.0,1.0,0.9980314960629921,0.9990080585629921,0.9990147783251232,0.04095509141552611
28,0.9990234375,1.0,1.0,0.9980314960629921,0.9990080585629921,0.9990147783251232,0.03681842667253932
29,1.0,1.0,1.0,1.0,1.0,1.0,0.03377901231351643
30,1.0,1.0,1.0,1.0,1.0,1.0,0.03269444669444965
31,1.0,1.0,1.0,1.0,1.0,1.0,0.03090838013542907
32,1.0,1.0,1.0,1.0,1.0,1.0,0.029735271979461686
33,1.0,1.0,1.0,1.0,1.0,1.0,0.02803794226372247
34,1.0,1.0,1.0,1.0,1.0,1.0,0.02669951651159863
35,1.0,1.0,1.0,1.0,1.0,1.0,0.025261596248583373
36,1.0,1.0,1.0,1.0,1.0,1.0,0.02522968672337811
37,1.0,1.0,1.0,1.0,1.0,1.0,0.02467001377658562
38,1.0,1.0,1.0,1.0,1.0,1.0,0.024220005042479897
39,1.0,1.0,1.0,1.0,1.0,1.0,0.02269382493568628
40,1.0,1.0,1.0,1.0,1.0,1.0,0.021600587846251074
41,1.0,1.0,1.0,1.0,1.0,1.0,0.021299700447571013
42,1.0,1.0,1.0,1.0,1.0,1.0,0.021315863577456184
43,1.0,1.0,1.0,1.0,1.0,1.0,0.021768642976439878
44,1.0,1.0,1.0,1.0,1.0,1.0,0.02089348822255488
45,1.0,1.0,1.0,1.0,1.0,1.0,0.020781556503607135
46,1.0,1.0,1.0,1.0,1.0,1.0,0.021107420972384716
47,1.0,1.0,1.0,1.0,1.0,1.0,0.020733844465439688
48,1.0,1.0,1.0,1.0,1.0,1.0,0.020094695381430938
49,1.0,1.0,1.0,1.0,1.0,1.0,0.01959971527799098
50,1.0,1.0,1.0,1.0,1.0,1.0,0.019495756351034288
51,1.0,1.0,1.0,1.0,1.0,1.0,0.019206015623808526
52,1.0,1.0,1.0,1.0,1.0,1.0,0.018592945608929767
53,1.0,1.0,1.0,1.0,1.0,1.0,0.018100951184351288
54,1.0,1.0,1.0,1.0,1.0,1.0,0.017344997974873877
55,1.0,1.0,1.0,1.0,1.0,1.0,0.019074933794286153
56,1.0,1.0,1.0,1.0,1.0,1.0,0.018554480532202433
57,1.0,1.0,1.0,1.0,1.0,1.0,0.01814157459807575
58,1.0,1.0,1.0,1.0,1.0,1.0,0.018268893617005233
59,1.0,1.0,1.0,1.0,1.0,1.0,0.01809364104838096
