Epoch,ACC,AUC,AUPR,F1,LOSS,recall_1,recall_5,recall_10,recall_25,recall_50
1,0.5107421875,0.5641614020631142,0.5029877547434702,0.6398274622573689,0.6911137673887424,1.0,1.0,1.0,1.0,1.0
2,0.5029296875,0.623905115058292,0.4995083579154376,0.6662295081967213,0.6902290548896417,1.0,1.0,1.0,1.0,1.0
3,0.5009765625,0.6658292895074162,0.4985202876759459,0.6649180327868852,0.6879558749496937,1.0,1.0,1.0,1.0,0.9980314960629921
4,0.5,0.7047472990294817,0.4980392156862745,0.6649214659685864,0.6849557586829178,1.0,1.0,1.0,1.0,1.0
5,0.513671875,0.7334813526216201,0.5049701789264414,0.6710700132100397,0.6797114617656916,1.0,1.0,1.0,1.0,1.0
6,0.5400390625,0.759918818287249,0.5188842778366646,0.6824005394470667,0.6692306133918464,1.0,1.0,1.0,1.0,1.0
7,0.603515625,0.7926318439846183,0.5558270758223196,0.7120567375886524,0.654021555383224,1.0,1.0,1.0,1.0,1.0
8,0.65234375,0.8305026551913568,0.5883460781344639,0.7343283582089553,0.6313587624172214,1.0,1.0,1.0,1.0,1.0
9,0.7109375,0.8647149484221449,0.633402920989043,0.7658227848101267,0.6001310258288868,1.0,1.0,1.0,1.0,1.0
10,0.751953125,0.9004455838369041,0.6698764372315676,0.7904290429042905,0.5609487790134153,1.0,1.0,1.0,1.0,1.0
11,0.80859375,0.9329983824696332,0.7274774515263523,0.830155979202773,0.5137066212228092,1.0,1.0,1.0,1.0,1.0
12,0.8583984375,0.9581654764084723,0.7856422244094489,0.8697214734950585,0.4595452741232293,1.0,1.0,1.0,1.0,1.0
13,0.8984375,0.9754509247390588,0.841549854244893,0.902803738317757,0.39809689248249924,1.0,1.0,1.0,1.0,1.0
14,0.93359375,0.9864112189464689,0.8988481058334842,0.9339805825242719,0.3424408842347475,1.0,1.0,1.0,1.0,1.0
15,0.94921875,0.9932399438442288,0.9248656604620193,0.9489194499017681,0.2828294220080352,1.0,1.0,1.0,1.0,1.0
16,0.9658203125,0.9967420496856498,0.9523802880213982,0.9653121902874133,0.23141077329273685,1.0,1.0,1.0,1.0,1.0
17,0.978515625,0.9985846609290117,0.9697045925899888,0.9782608695652173,0.18686734242237435,1.0,1.0,1.0,1.0,1.0
18,0.9853515625,0.9994430202038699,0.9803359041127252,0.9851632047477744,0.15350554410122186,1.0,1.0,1.0,1.0,1.0
19,0.994140625,0.999816883354697,0.9921107876738975,0.9940828402366864,0.12240202813575252,1.0,1.0,1.0,1.0,1.0
20,0.9970703125,0.9999427760483428,0.9960514958397397,0.9970443349753695,0.09482466351971652,1.0,1.0,1.0,1.0,1.0
21,0.9970703125,0.9999847402795581,0.9960514958397397,0.9970443349753695,0.07617036853503123,1.0,1.0,1.0,1.0,1.0
22,0.9990234375,1.0,0.9990080585629921,0.9990147783251232,0.06285174459446807,1.0,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,1.0,0.054966283102203306,1.0,1.0,1.0,1.0,1.0
24,1.0,1.0,1.0,1.0,0.045858845389830094,1.0,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,1.0,0.0392270097410119,1.0,1.0,1.0,1.0,1.0
26,1.0,1.0,1.0,1.0,0.03403981781661969,1.0,1.0,1.0,1.0,1.0
27,1.0,1.0,1.0,1.0,0.02993480553413974,1.0,1.0,1.0,1.0,1.0
28,1.0,1.0,1.0,1.0,0.025554887067187337,1.0,1.0,1.0,1.0,1.0
29,1.0,1.0,1.0,1.0,0.022285459424097098,1.0,1.0,1.0,1.0,1.0
30,1.0,1.0,1.0,1.0,0.020795766416085826,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,1.0,0.019030722201478056,1.0,1.0,1.0,1.0,1.0
32,1.0,1.0,1.0,1.0,0.017992969223541877,1.0,1.0,1.0,1.0,1.0
33,1.0,1.0,1.0,1.0,0.016789437932402507,1.0,1.0,1.0,1.0,1.0
34,1.0,1.0,1.0,1.0,0.0158976476375301,1.0,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,1.0,0.014861821127851726,1.0,1.0,1.0,1.0,1.0
36,1.0,1.0,1.0,1.0,0.014641301917436067,1.0,1.0,1.0,1.0,1.0
37,1.0,1.0,1.0,1.0,0.014195337889532311,1.0,1.0,1.0,1.0,1.0
38,1.0,1.0,1.0,1.0,0.013911115365772275,1.0,1.0,1.0,1.0,1.0
39,1.0,1.0,1.0,1.0,0.013110818689028747,1.0,1.0,1.0,1.0,1.0
40,1.0,1.0,1.0,1.0,0.012446754747770683,1.0,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0,0.012319341799070571,1.0,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0,0.012301576419986304,1.0,1.0,1.0,1.0,1.0
43,1.0,1.0,1.0,1.0,0.012534703480014286,1.0,1.0,1.0,1.0,1.0
44,1.0,1.0,1.0,1.0,0.011990305424433245,1.0,1.0,1.0,1.0,1.0
45,1.0,1.0,1.0,1.0,0.01186251421245288,1.0,1.0,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0,0.011959769979057455,1.0,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0,0.011737149777218292,1.0,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0,0.011472030423192336,1.0,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0,0.011179975973391265,1.0,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0,0.01116706261291256,1.0,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,1.0,0.010947344512715063,1.0,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,1.0,0.010607841770024606,1.0,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0,0.010346829721584072,1.0,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0,0.009922081958052331,1.0,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0,0.010759421504758393,1.0,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0,0.010438647659043454,1.0,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0,0.010248333659887976,1.0,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0,0.01035633909293665,1.0,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0,0.010249541613234214,1.0,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0,0.009818430578889092,1.0,1.0,1.0,1.0,1.0
61,1.0,1.0,1.0,1.0,0.010340066471712817,1.0,1.0,1.0,1.0,1.0
62,1.0,1.0,1.0,1.0,0.010746055260483445,1.0,1.0,1.0,1.0,1.0
63,1.0,1.0,1.0,1.0,0.01048963332675612,1.0,1.0,1.0,1.0,1.0
64,1.0,1.0,1.0,1.0,0.01025140799674773,1.0,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,0.010199999517794822,1.0,1.0,1.0,1.0,1.0
66,1.0,1.0,1.0,1.0,0.010012222866976117,1.0,1.0,1.0,1.0,1.0
67,1.0,1.0,1.0,1.0,0.009980702411212405,1.0,1.0,1.0,1.0,1.0
68,1.0,1.0,1.0,1.0,0.009944739402953928,1.0,1.0,1.0,1.0,1.0
