Epoch,ACC,AUC,Precision,Recall,AUPR,F1,LOSS
1,0.55859375,0.5863318684001709,0.55,0.6062992125984252,0.5287770669291338,0.5767790262172285,0.6896814687061124
2,0.576171875,0.6146539095403772,0.5649122807017544,0.6338582677165354,0.5397149446574112,0.5974025974025974,0.6857696959632449
3,0.580078125,0.6381424342306049,0.5532786885245902,0.797244094488189,0.5416841045323997,0.6532258064516129,0.6827274017850868
4,0.578125,0.6748611365439785,0.5430839002267573,0.9429133858267716,0.5404013916508204,0.689208633093525,0.6791289201355539
5,0.5673828125,0.7210027162302388,0.5352112676056338,0.9724409448818898,0.5341332257818565,0.6904262753319357,0.6733157343987841
6,0.5703125,0.7704594701825063,0.5361702127659574,0.9921259842519685,0.5358546500670129,0.6961325966850829,0.6655625868879724
7,0.5625,0.8252342367087835,0.5314465408805031,0.9980314960629921,0.5313769487724707,0.6935704514363885,0.658457354613347
8,0.5400390625,0.863745956174083,0.5188968335035751,1.0,0.5188968335035751,0.6832548755884331,0.6630561444617342
9,0.529296875,0.8913698651040713,0.5131313131313131,1.0,0.5131313131313131,0.678237650200267,0.6645834788505454
10,0.53125,0.9137520600622597,0.5141700404858299,1.0,0.5141700404858299,0.679144385026738,0.6624960096669383
11,0.54296875,0.9329297137276444,0.5204918032786885,1.0,0.5204918032786885,0.6846361185983827,0.6568957507552113
12,0.5498046875,0.9498947079289507,0.5242518059855521,1.0,0.5242518059855521,0.6878808395396073,0.645494385069469
13,0.5712890625,0.9590543551242141,0.5364308342133052,1.0,0.5364308342133052,0.6982817869415807,0.6300304308097111
14,0.59375,0.96696270524324,0.5497835497835498,1.0,0.5497835497835498,0.7094972067039106,0.6036468570382567
15,0.62890625,0.9739402124153086,0.5720720720720721,1.0,0.5720720720720721,0.7277936962750716,0.5741555614222307
16,0.6767578125,0.9799067631081,0.6054827175208581,1.0,0.6054827175208581,0.7542687453600594,0.5324792734900257
17,0.73046875,0.9850569187572484,0.6479591836734694,1.0,0.6479591836734694,0.7863777089783281,0.4927367307973327
18,0.79296875,0.9888985533785022,0.7055555555555556,1.0,0.7055555555555556,0.8273615635179152,0.4395680286834249
19,0.8408203125,0.991534670084844,0.7570789865871833,1.0,0.7570789865871833,0.8617472434266327,0.3927286669422756
20,0.8701171875,0.9935680278337301,0.7925117004680188,1.0,0.7925117004680188,0.8842471714534378,0.3558301486027631
21,0.8994140625,0.9950711102972594,0.8314238952536824,1.0,0.8314238952536824,0.9079535299374442,0.32243335089333414
22,0.93359375,0.9962384789110663,0.8819444444444444,1.0,0.8819444444444444,0.9372693726937269,0.29164412486352376
23,0.953125,0.9972265458096807,0.9136690647482014,1.0,0.9136690647482014,0.9548872180451127,0.2597473770529177
