Epoch,ACC,AUC,Precision,Recall,AUPR,F1,LOSS
65,1.0,1.0,1.0,1.0,1.0,1.0,0.020226000487696183
66,1.0,1.0,1.0,1.0,1.0,1.0,0.01973040691893857
67,1.0,1.0,1.0,1.0,1.0,1.0,0.019494316222107955
68,1.0,1.0,1.0,1.0,1.0,1.0,0.019822188801072116
69,1.0,1.0,1.0,1.0,1.0,1.0,0.020027266885335848
70,1.0,1.0,1.0,1.0,1.0,1.0,0.020275053866953385
71,1.0,1.0,1.0,1.0,1.0,1.0,0.01983929180812538
72,1.0,1.0,1.0,1.0,1.0,1.0,0.020015051905716064
73,1.0,1.0,1.0,1.0,1.0,1.0,0.019951393375549742
74,1.0,1.0,1.0,1.0,1.0,1.0,0.020519043829494876
75,1.0,1.0,1.0,1.0,1.0,1.0,0.0199681690860416
76,1.0,1.0,1.0,1.0,1.0,1.0,0.020234043387290512
77,1.0,1.0,1.0,1.0,1.0,1.0,0.019904496161530005
78,1.0,1.0,1.0,1.0,1.0,1.0,0.01940666676739511
79,1.0,1.0,1.0,1.0,1.0,1.0,0.019381314147494777
80,1.0,1.0,1.0,1.0,1.0,1.0,0.01997288380550799
81,1.0,1.0,1.0,1.0,1.0,1.0,0.01946263546017235
82,1.0,1.0,1.0,1.0,1.0,1.0,0.020420002618607214
83,1.0,1.0,1.0,1.0,1.0,1.0,0.02036698989513752
84,1.0,1.0,1.0,1.0,1.0,1.0,0.020292528515369668
85,1.0,1.0,1.0,1.0,1.0,1.0,0.02044033359493369
86,1.0,1.0,1.0,1.0,1.0,1.0,0.02048527798183386
87,1.0,1.0,1.0,1.0,1.0,1.0,0.021081722739609177
88,1.0,1.0,1.0,1.0,1.0,1.0,0.021122595978226855
89,1.0,1.0,1.0,1.0,1.0,1.0,0.020998058924419638
90,1.0,1.0,1.0,1.0,1.0,1.0,0.020407068586337118
91,1.0,1.0,1.0,1.0,1.0,1.0,0.020139843284823655
92,1.0,1.0,1.0,1.0,1.0,1.0,0.020187946321925665
93,1.0,1.0,1.0,1.0,1.0,1.0,0.020618762063350005
94,1.0,1.0,1.0,1.0,1.0,1.0,0.021334735733262278
95,1.0,1.0,1.0,1.0,1.0,1.0,0.02191579832788193
96,1.0,1.0,1.0,1.0,1.0,1.0,0.020863739428932604
97,1.0,1.0,1.0,1.0,1.0,1.0,0.02090750201944047
98,1.0,1.0,1.0,1.0,1.0,1.0,0.020883439166254902
99,1.0,1.0,1.0,1.0,1.0,1.0,0.02031877191188869
100,1.0,1.0,1.0,1.0,1.0,1.0,0.020461212846953458
