ACC,AUC,Precision,Recall,AUPR,F1,LOSS
0.5039015606242497,0.5406942681033998,0.5338894681960376,0.061464585834333736,0.5020830021268152,0.11023791581440412,0.692519388307615
0.545078031212485,0.5688521362926924,0.5584982084436828,0.43037214885954383,0.5251759996723413,0.48613465319682686,0.688807259940085
0.5623649459783914,0.6084188681474991,0.6026476980833827,0.36614645858343337,0.5375840911349721,0.4555298334702412,0.685568047054604
0.5858343337334934,0.6480188618064272,0.6482172470978441,0.375390156062425,0.5556392955192027,0.4754447316405656,0.6821257923241136
0.6128451380552221,0.6876398890888888,0.6875498802873105,0.4136854741896759,0.577586661160873,0.5165642332483885,0.6766789079392228
0.6353541416566627,0.7234509842352307,0.727547931382442,0.4327731092436975,0.598476625766351,0.5427173503951825,0.6715045814772471
0.6678271308523409,0.7659068453311697,0.775522270398108,0.4723889555822329,0.6301536775530077,0.5871381677111309,0.6636382772355807
0.6889555822328931,0.7976539115045779,0.8129224652087476,0.4908763505402161,0.6536062377237177,0.6121257485029941,0.6548981757152553
0.7082833133253301,0.8282180723429828,0.8637316561844863,0.49459783913565425,0.6799008911740796,0.6290076335877862,0.6431116613502406
0.7192677070828332,0.8472023118971478,0.8862338760837386,0.5031212484993998,0.694322469948013,0.6418561911325522,0.6264761458639624
0.7398559423769507,0.8700918590725606,0.9034733441033925,0.5370948379351741,0.7167034503623744,0.6736937208251769,0.6030203207821941
0.7618847539015606,0.8800198014379821,0.9036077705827937,0.5863145258103242,0.7366410986226128,0.7111758281761922,0.5797692030674967
0.7563025210084033,0.8936204854090495,0.930964876867178,0.5536614645858343,0.7386086449113356,0.6943691659138814,0.5556364588120825
0.7692076830732293,0.9062271198995806,0.9384164222873901,0.5762304921968787,0.7526289108018573,0.714020081814801,0.5311433139295705
0.7810924369747899,0.9163749101081009,0.9422096317280453,0.5989195678271308,0.7648480015235556,0.7323302752293578,0.5114846370406958
0.7941776710684274,0.9231056047869328,0.9451407811080835,0.624609843937575,0.7780393138181703,0.7521503433321287,0.4834268406610212
