"dir","model","AUPR","recall_1","recall_5","recall_10","recall_25","recall_50"
"dtb","BridgeDPI",0.268353562325174,0.952380952380952,0.666666666666667,0.523809523809524,0.428571428571429,0.285714285714286
"btd","BridgeDPI",0.11321794806212,0.833333333333333,0.722222222222222,0.333333333333333,0.111111111111111,0.0555555555555556
